,Algorithm,Dataset,alpha,Coverage,Length
206,cox_ph_alg_1,support,0.7,0.9037999999999999,1737.3224499999997
207,cox_ph_alg_1,support,0.7,0.9191999999999999,1748.85171
208,cox_ph_alg_1,support,0.7,0.9276000000000002,1767.92387
209,cox_ph_alg_1,support,0.7,0.9055,1722.14144
210,cox_ph_alg_2,support,0.7,0.9476,1871.9298700000002
211,cox_ph_alg_2,support,0.7,0.9464,1837.4469300000005
212,cox_ph_alg_2,support,0.7,0.9264,1773.34182
213,cox_ph_alg_2,support,0.7,0.9550000000000002,1845.3716000000004
214,cox_ph_alg_2,support,0.7,0.9692999999999999,1879.4228399999995
215,cox_ph_alg_2,support,0.7,0.9198000000000001,1738.85256
216,cox_ph_alg_2,support,0.7,0.9523999999999999,1863.4328500000001
217,cox_ph_alg_2,support,0.7,0.9605,1846.7174699999994
218,cox_ph_alg_2,support,0.7,0.9628000000000001,1859.6027200000003
219,cox_ph_alg_2,support,0.7,0.9442,1802.5832500000004
220,cox_cc_alg_1,support,0.7,0.9138,1779.9744100000005
221,cox_cc_alg_1,support,0.7,0.9511,1813.20041
222,cox_cc_alg_1,support,0.7,0.9053999999999999,1709.1753499999998
223,cox_cc_alg_1,support,0.7,0.9037,1740.5304199999998
224,cox_cc_alg_1,support,0.7,0.8966999999999998,1745.41354
225,cox_cc_alg_1,support,0.7,0.9158000000000002,1684.4536699999999
226,cox_cc_alg_1,support,0.7,0.9255,1771.4731700000002
227,cox_cc_alg_1,support,0.7,0.912,1742.0458800000001
228,cox_cc_alg_1,support,0.7,0.9328000000000002,1767.5869500000003
229,cox_cc_alg_1,support,0.7,0.8937,1709.0289900000002
230,cox_cc_alg_2,support,0.7,0.9479000000000001,1868.75408
231,cox_cc_alg_2,support,0.7,0.9679000000000001,1882.82168
232,cox_cc_alg_2,support,0.7,0.9458999999999999,1824.0809100000001
233,cox_cc_alg_2,support,0.7,0.9447,1826.05589
234,cox_cc_alg_2,support,0.7,0.9472000000000002,1828.2871300000002
235,cox_cc_alg_2,support,0.7,0.9561,1816.3004700000001
236,cox_cc_alg_2,support,0.7,0.9604999999999998,1896.9712799999998
237,cox_cc_alg_2,support,0.7,0.9565,1840.9832600000002
238,cox_cc_alg_2,support,0.7,0.9636000000000001,1857.3978999999997
239,cox_cc_alg_2,support,0.7,0.9373999999999999,1789.1671700000004
240,cox_ph_alg_1,rr_nl_nph,0.8,0.7742,13.356896544789914
241,cox_ph_alg_1,rr_nl_nph,0.8,0.7799,14.642816544789918
242,cox_ph_alg_1,rr_nl_nph,0.8,0.7698,13.974506544789918
243,cox_ph_alg_1,rr_nl_nph,0.8,0.8031,14.065436544789916
244,cox_ph_alg_1,rr_nl_nph,0.8,0.7650999999999999,13.335036544789919
245,cox_ph_alg_1,rr_nl_nph,0.8,0.7905,13.311666544789913
246,cox_ph_alg_1,rr_nl_nph,0.8,0.7772,14.933936544789916
247,cox_ph_alg_1,rr_nl_nph,0.8,0.7559,15.061046544789917
248,cox_ph_alg_1,rr_nl_nph,0.8,0.8039000000000002,15.058106544789917
249,cox_ph_alg_1,rr_nl_nph,0.8,0.7400999999999999,14.484716544789912
250,cox_ph_alg_2,rr_nl_nph,0.8,0.8288000000000001,16.779385229935052
251,cox_ph_alg_2,rr_nl_nph,0.8,0.8447000000000001,18.80584054880937
252,cox_ph_alg_2,rr_nl_nph,0.8,0.8390000000000001,17.73650208852902
253,cox_ph_alg_2,rr_nl_nph,0.8,0.856,18.191117973662152
254,cox_ph_alg_2,rr_nl_nph,0.8,0.8590999999999999,17.76421424255185
255,cox_ph_alg_2,rr_nl_nph,0.8,0.8710000000000001,17.69880176050504
256,cox_ph_alg_2,rr_nl_nph,0.8,0.8281000000000001,18.331854143262053
257,cox_ph_alg_2,rr_nl_nph,0.8,0.8064999999999999,17.136710635215614
258,cox_ph_alg_2,rr_nl_nph,0.8,0.8747,18.746142325793173
259,cox_ph_alg_2,rr_nl_nph,0.8,0.7977999999999998,17.644480842578258
260,cox_cc_alg_1,rr_nl_nph,0.8,0.7734000000000001,13.229156544789914
261,cox_cc_alg_1,rr_nl_nph,0.8,0.7809000000000001,14.647026544789915
262,cox_cc_alg_1,rr_nl_nph,0.8,0.7674000000000001,13.975116544789914
